quarter,eps,revenue,pat_margin,ebitda,ebitda_margin,pat,company,ret_1m,ret_3m,vol_30d,vol_60d,abnormal_volume
2018Q1,1.11,568.91,8.83,162.47,28.56,50.21,EMAMI,-0.03236479651547508,-0.17733336522802146,0.012884630871723769,0.01663530358053355,1.0430519960486595
2018Q2,0.89,574.88,7.01,134.74,23.44,40.32,EMAMI,0.025133906714921217,-0.018004451706403746,0.016540705114764492,0.015672626897190792,0.6363038393848497
2018Q3,1.73,572.43,13.73,183.73,32.1,78.6,EMAMI,-0.10724918173760756,-0.022246182837886486,0.02216451405661492,0.020141986262870355,0.9209390355545908
2018Q4,3.04,758.95,18.16,257.02,33.87,137.8,EMAMI,-0.035583097711946676,-0.19582695679897977,0.018888507532411627,0.02384025883751089,0.8782610746892114
2019Q1,1.07,581.58,8.34,158.34,27.23,48.53,EMAMI,-0.002132516157529185,-0.01826503063470397,0.028433169316827087,0.02314206685021221,0.4237866331777985
2019Q2,1.82,588.55,14.03,178.75,30.37,82.56,EMAMI,-0.12735208971379497,-0.2372815397904311,0.03348029831141654,0.02493355009299147,5.117757943501522
2019Q3,2.11,592.12,16.16,201.94,34.1,95.67,EMAMI,0.05812029077444181,0.0661313742895222,0.019490800363540513,0.0166446113806416,1.31003701976429
2019Q4,3.26,748.28,19.77,267.25,35.72,147.91,EMAMI,-0.016658576237133293,-0.04290941264413162,0.012693508430121596,0.017787572441661688,0.6953946673691407
2020Q1,-0.82,460.45,-8.04,34.92,7.58,-37.02,EMAMI,-0.3289050776682635,-0.4444356650385326,0.04083139798544675,0.03460871791748739,1.6537620914176547
2020Q2,1.49,434.59,15.46,157.51,36.24,67.19,EMAMI,0.13521836259382014,0.44172355650216777,0.03750386940458342,0.03718697661934231,1.7537083854695965
2020Q3,2.58,653.86,17.51,254.07,38.86,114.52,EMAMI,-0.02579029815076661,0.5280557790386415,0.0190661555669366,0.03593452931031972,0.7617678361700945
2020Q4,4.55,845.37,23.91,336.51,39.81,202.17,EMAMI,-0.043021692558461666,0.2191054814624276,0.01528924435894368,0.017914320621549438,0.7910190809694868
2021Q1,2.05,648.46,14.07,199.28,30.73,91.25,EMAMI,0.06766267123659953,0.15805839669781263,0.018808928525320345,0.018646263222464942,0.6313214827212124
2021Q2,2.09,608.09,15.29,194.57,32.0,92.97,EMAMI,0.10413785558655397,0.1900818328312197,0.019507118292767973,0.017691494018612357,0.9230928310791572
2021Q3,4.1,711.89,25.62,303.52,42.64,182.36,EMAMI,-0.03884786027042242,0.024359888986472233,0.014263067554126669,0.015447516647951907,1.2702878531207864
2021Q4,4.75,875.3,24.12,339.0,38.73,211.12,EMAMI,-0.03035990482110873,-0.08938697972438325,0.01939846760752166,0.01950051066106872,0.572636849583869
2022Q1,8.21,671.59,54.23,183.03,27.25,364.23,EMAMI,-0.09730497533176585,-0.12367477800495885,0.019596430889789844,0.01621840199992563,1.3677330203510916
2022Q2,2.19,688.22,14.02,196.84,28.6,96.52,EMAMI,0.0029832882814488926,-0.0571011932134472,0.015752953280672596,0.018500130071898,1.3776153988345685
2022Q3,3.24,685.11,20.98,190.72,27.84,143.72,EMAMI,0.024583374261834656,0.1999998762947781,0.021926804446647255,0.01947193168550984,1.071044495736984
2022Q4,5.09,835.55,26.88,280.8,33.61,224.62,EMAMI,-0.08305464778598559,-0.14950496159263627,0.01950948546886856,0.01760410113931219,0.6145482708400647
